EV Charger Registration Code,Name,No. of Charging Outlets,Connector ID,Type of Connector,Rated Output Power (kW),Postal Code,Block/House No,Street Name,Building Name,Floor No,Lot No,Is the charger publicly accessible?,Longitude,Latitude
R115035A,AIRETEC PTE. LTD.,1,R115035A-001,Type 2,22,68906,138,ROBINSON ROAD,OXLEY TOWER,B3,7,Yes,103.848419,1.278706085
R115036E,AIRETEC PTE. LTD.,1,R115036E-001,Type 2,22,159971,321,ALEXANDRA ROAD,ALEXANDRA CENTRAL,L4,44,Yes,103.8052834,1.287283209
R115037K,AIRETEC PTE. LTD.,1,R115037K-001,Type 2,22,68906,138,ROBINSON ROAD,OXLEY TOWER,B3,6,Yes,103.848419,1.278706085
R115038B,AIRETEC PTE. LTD.,1,R115038B-001,Type 2,22,159971,321,ALEXANDRA ROAD,ALEXANDRA CENTRAL,L4,45,Yes,103.8052834,1.287283209
R115043Z,AIRETEC PTE. LTD.,1,R115043Z-001,Type 2,22,737853,11,WOODLANDS CLOSE,,L6,30,Yes,103.8029106,1.434940119
R115044C,AIRETEC PTE. LTD.,1,R115044C-001,Type 2,22,737853,11,WOODLANDS CLOSE,WOODLANDS 11,L6,32,Yes,103.8029106,1.434940119
R115045G,AIRETEC PTE. LTD.,1,R115045G-001,Type 2,22,737853,11,WOODLANDS CLOSE,WOODLANDS 11,L6,31,Yes,103.8029106,1.434940119
R116332C,AIRETEC PTE. LTD.,1,R116332C-001,Type 2,22,669645,303,GOMBAK DRIVE,MINDEF BUILDING,L1,183,Yes,103.7586401,1.37045672
R116337A,AIRETEC PTE. LTD.,1,R116337A-001,Type 2,22,669645,303,GOMBAK DRIVE,MINDEF BUILDING,L1,182,Yes,103.7586401,1.37045672
R116602R,AIRETEC PTE. LTD.,1,R116602R-001,CCS2,30,669645,303,GOMBAK DRIVE,MINDEF BUILDING,L1,186,Yes,103.7586401,1.37045672
R116622A,AIRETEC PTE. LTD.,1,R116622A-001,CCS2,30,669645,303,GOMBAK DRIVE,MINDEF BUILDING,L1,187,Yes,103.7586525,1.370443021
R107638A,BUSWAYS PTE. LTD.,1,R107638A-001,Type 2,22,138602,1,CREATE WAY,UNIVERSITY TOWN (CREATE),L1,32,Yes,103.7740329,1.303996549
R107639E,BUSWAYS PTE. LTD.,1,R107639E-001,Type 2,22,138602,1,CREATE WAY,UNIVERSITY TOWN (CREATE),L1,33,Yes,103.7740329,1.303996549
R115347H,BUSWAYS PTE. LTD.,1,R115347H-001,Type 2,22,369683,25,HARPER ROAD,HARPER POINT,L5,9,Yes,103.88701,1.33452
R115348A,BUSWAYS PTE. LTD.,1,R115348A-001,Type 2,22,369683,25,HARPER ROAD,HARPER POINT,L5,10,Yes,103.88701,1.33452
R102482B,CHARGE+ PTE. LTD.,2,R102482B-001,Type 2,7.4,120507,507,WEST COAST DRIVE,WEST COAST VISTA,L1,1 AND 2,Yes,103.7614211,1.311458097
R102482B,CHARGE+ PTE. LTD.,2,R102482B-002,Type 2,7.4,120507,507,WEST COAST DRIVE,WEST COAST VISTA,L1,1 AND 2,Yes,103.7614211,1.311458097
R102483F,CHARGE+ PTE. LTD.,2,R102483F-001,Type 2,7.4,120507,507,WEST COAST DRIVE,WEST COAST VISTA,L1,3 AND 4,Yes,103.7614211,1.311458097
R102483F,CHARGE+ PTE. LTD.,2,R102483F-002,Type 2,7.4,120507,507,WEST COAST DRIVE,WEST COAST VISTA,L1,3 AND 4,Yes,103.7614211,1.311458097
R102484Z,CHARGE+ PTE. LTD.,2,R102484Z-001,Type 2,7.4,120507,507,WEST COAST DRIVE,WEST COAST VISTA,L1,5 AND 6,Yes,103.7614211,1.311458097
R102484Z,CHARGE+ PTE. LTD.,2,R102484Z-002,Type 2,7.4,120507,507,WEST COAST DRIVE,WEST COAST VISTA,L1,5 AND 6,Yes,103.7614211,1.311458097
R102548G,CHARGE+ PTE. LTD.,2,R102548G-001,Type 2,7.4,321022,22,SAINT GEORGE'S ROAD,SAINT GEORGE'S EAST GARDENS,L1,69 AND 70,Yes,103.8621767,1.325147
R102548G,CHARGE+ PTE. LTD.,2,R102548G-002,Type 2,7.4,321022,22,SAINT GEORGE'S ROAD,SAINT GEORGE'S EAST GARDENS,L1,69 AND 70,Yes,103.8621767,1.325147
R102550C,CHARGE+ PTE. LTD.,2,R102550C-001,Type 2,7.4,321022,22,SAINT GEORGE'S ROAD,SAINT GEORGE'S EAST GARDENS,L1,67 AND 68,Yes,103.8621767,1.325147
R102550C,CHARGE+ PTE. LTD.,2,R102550C-002,Type 2,7.4,321022,22,SAINT GEORGE'S ROAD,SAINT GEORGE'S EAST GARDENS,L1,67 AND 68,Yes,103.8621767,1.325147
R102551G,CHARGE+ PTE. LTD.,2,R102551G-001,Type 2,7.4,321022,22,SAINT GEORGE'S ROAD,SAINT GEORGE'S EAST GARDENS,L1,65 AND 66,Yes,103.8621767,1.325147
R102551G,CHARGE+ PTE. LTD.,2,R102551G-002,Type 2,7.4,321022,22,SAINT GEORGE'S ROAD,SAINT GEORGE'S EAST GARDENS,L1,65 AND 66,Yes,103.8621767,1.325147
R106226A,CHARGE+ PTE. LTD.,2,R106226A-001,Type 2,7.4,760315,315,YISHUN AVENUE 9,YISHUN GREENWALK,L4B,264,Yes,103.8420226,1.432668821
R106226A,CHARGE+ PTE. LTD.,2,R106226A-002,Type 2,7.4,760315,315,YISHUN AVENUE 9,YISHUN GREENWALK,L4B,264,Yes,103.8420226,1.432668821
R106230E,CHARGE+ PTE. LTD.,2,R106230E-001,Type 2,7.4,760315,315,YISHUN AVENUE 9,YISHUN GREENWALK,L4B,265 & 266,Yes,103.8420226,1.432668821
R106230E,CHARGE+ PTE. LTD.,2,R106230E-002,Type 2,7.4,760315,315,YISHUN AVENUE 9,YISHUN GREENWALK,L4B,265 & 266,Yes,103.8420226,1.432668821
R106263B,CHARGE+ PTE. LTD.,2,R106263B-001,Type 2,7.4,820292,292,PUNGGOL CENTRAL,MULTI STOREY CAR PARK,L4A,540 & 539,Yes,103.9050495,1.402396878
R106263B,CHARGE+ PTE. LTD.,2,R106263B-002,Type 2,7.4,820292,292,PUNGGOL CENTRAL,MULTI STOREY CAR PARK,L4A,540 & 539,Yes,103.9050495,1.402396878
R106267G,CHARGE+ PTE. LTD.,2,R106267G-001,Type 2,7.4,820292,292,PUNGGOL CENTRAL,MULTI STOREY CAR PARK,L4A,542 & 541,Yes,103.9050495,1.402396878
R106267G,CHARGE+ PTE. LTD.,2,R106267G-002,Type 2,7.4,820292,292,PUNGGOL CENTRAL,MULTI STOREY CAR PARK,L4A,542 & 541,Yes,103.9050495,1.402396878
R106270G,CHARGE+ PTE. LTD.,2,R106270G-001,Type 2,7.4,731644,644A,WOODLANDS RING ROAD,MULTI STOREY CAR PARK,L4B,285 & 286,Yes,103.8011496,1.437361837
R106270G,CHARGE+ PTE. LTD.,2,R106270G-002,Type 2,7.4,731644,644A,WOODLANDS RING ROAD,MULTI STOREY CAR PARK,L4B,285 & 286,Yes,103.8011496,1.437361837
R106272D,CHARGE+ PTE. LTD.,2,R106272D-001,Type 2,7.4,731644,644A,WOODLANDS RING ROAD,MULTI STOREY CAR PARK,L4B,287 & 288,Yes,103.8011496,1.437361837
R106272D,CHARGE+ PTE. LTD.,2,R106272D-002,Type 2,7.4,731644,644A,WOODLANDS RING ROAD,MULTI STOREY CAR PARK,L4B,287 & 288,Yes,103.8011496,1.437361837
R106361Z,CHARGE+ PTE. LTD.,1,R106361Z-001,Type 2,22,238872,391,ORCHARD ROAD,NGEE ANN CITY,L7,53,Yes,103.8346761,1.302424172
R106364R,CHARGE+ PTE. LTD.,1,R106364R-001,Type 2,22,238872,391,ORCHARD ROAD,NGEE ANN CITY,L7,53,Yes,103.8346761,1.302424172
R106366H,CHARGE+ PTE. LTD.,1,R106366H-001,Type 2,22,38981,1,ESPLANADE DRIVE,ESPLANADE - THEATRES ON THE BAY,B1,208,Yes,103.8555667,1.290205011
R106367A,CHARGE+ PTE. LTD.,1,R106367A-001,Type 2,22,38981,1,ESPLANADE DRIVE,ESPLANADE - THEATRES ON THE BAY,B1,209,Yes,103.8555667,1.290205011
R106368E,CHARGE+ PTE. LTD.,1,R106368E-001,Type 2,22,38981,1,ESPLANADE DRIVE,ESPLANADE - THEATRES ON THE BAY,B1,210,Yes,103.8555667,1.290205011
R106372K,CHARGE+ PTE. LTD.,2,R106372K-001,Type 2,7.4,731029,29A,MARSILING DRIVE,MULTI STOREY CAR PARK,L5A,212 & 213,Yes,103.7728566,1.442724074
R106372K,CHARGE+ PTE. LTD.,2,R106372K-002,Type 2,7.4,731029,29A,MARSILING DRIVE,MULTI STOREY CAR PARK,L5A,212 & 213,Yes,103.7728566,1.442724074
R106373B,CHARGE+ PTE. LTD.,2,R106373B-001,Type 2,7.4,731029,29A,MARSILING DRIVE,MULTI STOREY CAR PARK,L5A,214 & 215,Yes,103.7728566,1.442724074
R106373B,CHARGE+ PTE. LTD.,2,R106373B-002,Type 2,7.4,731029,29A,MARSILING DRIVE,MULTI STOREY CAR PARK,L5A,214 & 215,Yes,103.7728566,1.442724074
R106374F,CHARGE+ PTE. LTD.,2,R106374F-001,Type 2,7.4,820603,603,PUNGGOL ROAD,PASIR RIS-PUNGGOL TOWN COUNCIL (PUNGGOL OFFICE),L4A,166 & 167,Yes,103.9079825,1.403862281
R106374F,CHARGE+ PTE. LTD.,2,R106374F-002,Type 2,7.4,820603,603,PUNGGOL ROAD,PASIR RIS-PUNGGOL TOWN COUNCIL (PUNGGOL OFFICE),L4A,166 & 167,Yes,103.9079825,1.403862281
R106375Z,CHARGE+ PTE. LTD.,2,R106375Z-001,Type 2,7.4,820603,603,PUNGGOL ROAD,PASIR RIS-PUNGGOL TOWN COUNCIL (PUNGGOL OFFICE),L4A,168 & 169,Yes,103.9079825,1.403862281
R106375Z,CHARGE+ PTE. LTD.,2,R106375Z-002,Type 2,7.4,820603,603,PUNGGOL ROAD,PASIR RIS-PUNGGOL TOWN COUNCIL (PUNGGOL OFFICE),L4A,168 & 169,Yes,103.9079825,1.403862281
R106376C,CHARGE+ PTE. LTD.,2,R106376C-001,Type 2,7.4,760813,813,YISHUN RING ROAD,KHATIB COURT,L3B,59,Yes,103.832653,1.417712895
R106376C,CHARGE+ PTE. LTD.,2,R106376C-002,Type 2,7.4,760813,813,YISHUN RING ROAD,KHATIB COURT,L3B,59,Yes,103.832653,1.417712895
R106377G,CHARGE+ PTE. LTD.,2,R106377G-001,Type 2,7.4,760813,813,YISHUN RING ROAD,KHATIB COURT,L3B,60 & 61,Yes,103.832653,1.417712895
R106377G,CHARGE+ PTE. LTD.,2,R106377G-002,Type 2,7.4,760813,813,YISHUN RING ROAD,KHATIB COURT,L3B,60 & 61,Yes,103.832653,1.417712895
R106379D,CHARGE+ PTE. LTD.,2,R106379D-001,Type 2,7.4,561323,323A,ANG MO KIO AVENUE 3,MULTI STOREY CAR PARK,L3B,277 & 276,Yes,103.8478038,1.367518628
R106379D,CHARGE+ PTE. LTD.,2,R106379D-002,Type 2,7.4,561323,323A,ANG MO KIO AVENUE 3,MULTI STOREY CAR PARK,L3B,277 & 276,Yes,103.8478038,1.367518628
R106380G,CHARGE+ PTE. LTD.,2,R106380G-001,Type 2,7.4,561323,323A,ANG MO KIO AVENUE 3,MULTI STOREY CAR PARK,L3B,279 & 278,Yes,103.8478038,1.367518628
R106380G,CHARGE+ PTE. LTD.,2,R106380G-002,Type 2,7.4,561323,323A,ANG MO KIO AVENUE 3,MULTI STOREY CAR PARK,L3B,279 & 278,Yes,103.8478038,1.367518628
R106381R,CHARGE+ PTE. LTD.,2,R106381R-001,Type 2,7.4,560260,260,ANG MO KIO STREET 21,KEBUN BARU COURT,L3B,93 & 92,Yes,103.834531,1.368886198
R106381R,CHARGE+ PTE. LTD.,2,R106381R-002,Type 2,7.4,560260,260,ANG MO KIO STREET 21,KEBUN BARU COURT,L3B,93 & 92,Yes,103.834531,1.368886198
R106382D,CHARGE+ PTE. LTD.,2,R106382D-001,Type 2,7.4,560260,260,ANG MO KIO STREET 21,KEBUN BARU COURT,L3B,95 & 94,Yes,103.834531,1.368886198
R106382D,CHARGE+ PTE. LTD.,2,R106382D-002,Type 2,7.4,560260,260,ANG MO KIO STREET 21,KEBUN BARU COURT,L3B,95 & 94,Yes,103.834531,1.368886198
R106383H,CHARGE+ PTE. LTD.,2,R106383H-001,Type 2,7.4,760441,441,YISHUN AVENUE 11,JADE SPRING @ YISHUN,L5B,370 & 371,Yes,103.8455692,1.422743151
R106383H,CHARGE+ PTE. LTD.,2,R106383H-002,Type 2,7.4,760441,441,YISHUN AVENUE 11,JADE SPRING @ YISHUN,L5B,370 & 371,Yes,103.8455692,1.422743151
R106384A,CHARGE+ PTE. LTD.,2,R106384A-001,Type 2,7.4,760441,441,YISHUN AVENUE 11,JADE SPRING @ YISHUN,L5B,372 & 373,Yes,103.8455692,1.422743151
R106384A,CHARGE+ PTE. LTD.,2,R106384A-002,Type 2,7.4,760441,441,YISHUN AVENUE 11,JADE SPRING @ YISHUN,L5B,372 & 373,Yes,103.8455692,1.422743151
R106386K,CHARGE+ PTE. LTD.,2,R106386K-001,Type 2,7.4,760431,431,YISHUN AVENUE 1,VISTA SPRING @ YISHUN,L5,265 & 266,Yes,103.8475882,1.420087947
R106386K,CHARGE+ PTE. LTD.,2,R106386K-002,Type 2,7.4,760431,431,YISHUN AVENUE 1,VISTA SPRING @ YISHUN,L5,265 & 266,Yes,103.8475882,1.420087947
R106387B,CHARGE+ PTE. LTD.,2,R106387B-001,Type 2,7.4,760431,431,YISHUN AVENUE 1,VISTA SPRING @ YISHUN,L5,267 & 268,Yes,103.8475882,1.420087947
R106387B,CHARGE+ PTE. LTD.,2,R106387B-002,Type 2,7.4,760431,431,YISHUN AVENUE 1,VISTA SPRING @ YISHUN,L5,267 & 268,Yes,103.8475882,1.420087947
R106388F,CHARGE+ PTE. LTD.,2,R106388F-001,Type 2,7.4,790440,440,FERNVALE LINK,FERNVALE GARDENS,L3A,216 & 215,Yes,103.8782509,1.39291337
R106388F,CHARGE+ PTE. LTD.,2,R106388F-002,Type 2,7.4,790440,440,FERNVALE LINK,FERNVALE GARDENS,L3A,216 & 215,Yes,103.8782509,1.39291337
R106389Z,CHARGE+ PTE. LTD.,2,R106389Z-001,Type 2,7.4,790440,440,FERNVALE LINK,FERNVALE GARDENS,L3A,218 & 217,Yes,103.8782509,1.39291337
R106389Z,CHARGE+ PTE. LTD.,2,R106389Z-002,Type 2,7.4,790440,440,FERNVALE LINK,FERNVALE GARDENS,L3A,218 & 217,Yes,103.8782509,1.39291337
R106390B,CHARGE+ PTE. LTD.,2,R106390B-001,Type 2,7.4,750469,469,ADMIRALTY DRIVE,BLUE RIVERVIEW,B2A,149 & 148,Yes,103.8137014,1.448931121
R106390B,CHARGE+ PTE. LTD.,2,R106390B-002,Type 2,7.4,750469,469,ADMIRALTY DRIVE,BLUE RIVERVIEW,B2A,149 & 148,Yes,103.8137014,1.448931121
R106391F,CHARGE+ PTE. LTD.,2,R106391F-001,Type 2,7.4,750469,469,ADMIRALTY DRIVE,BLUE RIVERVIEW,B2A,151 & 150,Yes,103.8137014,1.448931121
R106391F,CHARGE+ PTE. LTD.,2,R106391F-002,Type 2,7.4,750469,469,ADMIRALTY DRIVE,BLUE RIVERVIEW,B2A,151 & 150,Yes,103.8137014,1.448931121
R106394G,CHARGE+ PTE. LTD.,2,R106394G-001,Type 2,7.4,731519,519A,WOODLANDS DRIVE 14,FRAGRANT WOODS,L3B,117 & 118,Yes,103.7923454,1.434570837
R106394G,CHARGE+ PTE. LTD.,2,R106394G-002,Type 2,7.4,731519,519A,WOODLANDS DRIVE 14,FRAGRANT WOODS,L3B,117 & 118,Yes,103.7923454,1.434570837
R106395R,CHARGE+ PTE. LTD.,2,R106395R-001,Type 2,7.4,731519,519A,WOODLANDS DRIVE 14,FRAGRANT WOODS,L3B,119 & 120,Yes,103.7923454,1.434570837
R106395R,CHARGE+ PTE. LTD.,2,R106395R-002,Type 2,7.4,731519,519A,WOODLANDS DRIVE 14,FRAGRANT WOODS,L3B,119 & 120,Yes,103.7923454,1.434570837
R106397H,CHARGE+ PTE. LTD.,2,R106397H-001,Type 2,7.4,730782,782,WOODLANDS CRESCENT,WOODLANDS MEADOW,L4A,173 & 174,Yes,103.8035717,1.448205178
R106397H,CHARGE+ PTE. LTD.,2,R106397H-002,Type 2,7.4,730782,782,WOODLANDS CRESCENT,WOODLANDS MEADOW,L4A,173 & 174,Yes,103.8035717,1.448205178
R106398A,CHARGE+ PTE. LTD.,2,R106398A-001,Type 2,7.4,730782,782,WOODLANDS CRESCENT,WOODLANDS MEADOW,L4A,175 & 159,Yes,103.8035717,1.448205178
R106398A,CHARGE+ PTE. LTD.,2,R106398A-002,Type 2,7.4,730782,782,WOODLANDS CRESCENT,WOODLANDS MEADOW,L4A,175 & 159,Yes,103.8035717,1.448205178
R106400H,CHARGE+ PTE. LTD.,2,R106400H-001,Type 2,7.4,530984,984,BUANGKOK LINK,MULTI STOREY CAR PARK,L3B,341 & 340,Yes,103.8806478,1.381561002
R106400H,CHARGE+ PTE. LTD.,2,R106400H-002,Type 2,7.4,530984,984,BUANGKOK LINK,MULTI STOREY CAR PARK,L3B,341 & 340,Yes,103.8806478,1.381561002
R106401A,CHARGE+ PTE. LTD.,2,R106401A-001,Type 2,7.4,530984,984,BUANGKOK LINK,MULTI STOREY CAR PARK,L3B,343 & 342,Yes,103.8806478,1.381561002
R106401A,CHARGE+ PTE. LTD.,2,R106401A-002,Type 2,7.4,530984,984,BUANGKOK LINK,MULTI STOREY CAR PARK,L3B,343 & 342,Yes,103.8806478,1.381561002
R106402E,CHARGE+ PTE. LTD.,2,R106402E-001,Type 2,7.4,531166,166A,HOUGANG AVENUE 1,MULTI STOREY CAR PARK,L3A,76 & 77,Yes,103.8880705,1.350820191
R106402E,CHARGE+ PTE. LTD.,2,R106402E-002,Type 2,7.4,531166,166A,HOUGANG AVENUE 1,MULTI STOREY CAR PARK,L3A,76 & 77,Yes,103.8880705,1.350820191
R106403K,CHARGE+ PTE. LTD.,2,R106403K-001,Type 2,7.4,531166,166A,HOUGANG AVENUE 1,MULTI STOREY CAR PARK,L3A,78 & 79,Yes,103.8880705,1.350820191
R106403K,CHARGE+ PTE. LTD.,2,R106403K-002,Type 2,7.4,531166,166A,HOUGANG AVENUE 1,MULTI STOREY CAR PARK,L3A,78 & 79,Yes,103.8880705,1.350820191
R106404B,CHARGE+ PTE. LTD.,2,R106404B-001,Type 2,7.4,820226,226,SUMANG LANE,THE VERANDAH @ MATILDA,L1,272 & 273,Yes,103.8932405,1.403000774
R106404B,CHARGE+ PTE. LTD.,2,R106404B-002,Type 2,7.4,820226,226,SUMANG LANE,THE VERANDAH @ MATILDA,L1,272 & 273,Yes,103.8932405,1.403000774
R106405F,CHARGE+ PTE. LTD.,2,R106405F-001,Type 2,7.4,820226,226,SUMANG LANE,THE VERANDAH @ MATILDA,L1,276 & 277,Yes,103.8932405,1.403000774
R106405F,CHARGE+ PTE. LTD.,2,R106405F-002,Type 2,7.4,820226,226,SUMANG LANE,THE VERANDAH @ MATILDA,L1,276 & 277,Yes,103.8932405,1.403000774
R106407C,CHARGE+ PTE. LTD.,2,R106407C-001,Type 2,7.4,750501,501,WELLINGTON CIRCLE,MONTREAL SPRING,L4A,166 & 165,Yes,103.8213577,1.451591643
R106407C,CHARGE+ PTE. LTD.,2,R106407C-002,Type 2,7.4,750501,501,WELLINGTON CIRCLE,MONTREAL SPRING,L4A,166 & 165,Yes,103.8213577,1.451591643
R106408G,CHARGE+ PTE. LTD.,2,R106408G-001,Type 2,7.4,750501,501,WELLINGTON CIRCLE,MONTREAL SPRING,L4A,168 & 167,Yes,103.8213577,1.451591643
R106408G,CHARGE+ PTE. LTD.,2,R106408G-002,Type 2,7.4,750501,501,WELLINGTON CIRCLE,MONTREAL SPRING,L4A,168 & 167,Yes,103.8213577,1.451591643
R106409R,CHARGE+ PTE. LTD.,2,R106409R-001,Type 2,7.4,751591,591A,MONTREAL LINK,MONTREAL DALE,L4A,54 & 55,Yes,103.8263139,1.450366872
R106409R,CHARGE+ PTE. LTD.,2,R106409R-002,Type 2,7.4,751591,591A,MONTREAL LINK,MONTREAL DALE,L4A,54 & 55,Yes,103.8263139,1.450366872
R106410C,CHARGE+ PTE. LTD.,2,R106410C-001,Type 2,7.4,750591,591,MONTREAL LINK,MONTREAL DALE,L4A,57 & 56,Yes,103.8263139,1.450366872
R106410C,CHARGE+ PTE. LTD.,2,R106410C-002,Type 2,7.4,750591,591,MONTREAL LINK,MONTREAL DALE,L4A,57 & 56,Yes,103.8263139,1.450366872
R106411G,CHARGE+ PTE. LTD.,2,R106411G-001,Type 2,7.4,540281,281,SENGKANG EAST AVENUE,COMPASSVALE ANCILLA,L5B,193 & 194,Yes,103.8914954,1.385523598
R106411G,CHARGE+ PTE. LTD.,2,R106411G-002,Type 2,7.4,540281,281,SENGKANG EAST AVENUE,COMPASSVALE ANCILLA,L5B,193 & 194,Yes,103.8914954,1.385523598
R106412R,CHARGE+ PTE. LTD.,2,R106412R-001,Type 2,7.4,540281,281,SENGKANG EAST AVENUE,COMPASSVALE ANCILLA,L5B,195 & 196,Yes,103.8914954,1.385523598
R106412R,CHARGE+ PTE. LTD.,2,R106412R-002,Type 2,7.4,540281,281,SENGKANG EAST AVENUE,COMPASSVALE ANCILLA,L5B,195 & 196,Yes,103.8914954,1.385523598
R106413D,CHARGE+ PTE. LTD.,2,R106413D-001,Type 2,7.4,531971,971A,HOUGANG STREET 91,MULTI STOREY CAR PARK,L3A,247 & 248,Yes,103.8802201,1.378017496
R106413D,CHARGE+ PTE. LTD.,2,R106413D-002,Type 2,7.4,531971,971A,HOUGANG STREET 91,MULTI STOREY CAR PARK,L3A,247 & 248,Yes,103.8802201,1.378017496
R106414H,CHARGE+ PTE. LTD.,2,R106414H-001,Type 2,7.4,531971,971A,HOUGANG STREET 91,MULTI STOREY CAR PARK,L3A,249 & 250,Yes,103.8802201,1.378017496
R106414H,CHARGE+ PTE. LTD.,2,R106414H-002,Type 2,7.4,531971,971A,HOUGANG STREET 91,MULTI STOREY CAR PARK,L3A,249 & 250,Yes,103.8802201,1.378017496
R106415A,CHARGE+ PTE. LTD.,2,R106415A-001,Type 2,7.4,530470,470,UPPER SERANGOON CRESCENT,HOUGANG PARKVIEW,L4B,291 & 292,Yes,103.9017851,1.378663847
R106415A,CHARGE+ PTE. LTD.,2,R106415A-002,Type 2,7.4,530470,470,UPPER SERANGOON CRESCENT,HOUGANG PARKVIEW,L4B,291 & 292,Yes,103.9017851,1.378663847
R106416E,CHARGE+ PTE. LTD.,2,R106416E-001,Type 2,7.4,530470,470,UPPER SERANGOON CRESCENT,HOUGANG PARKVIEW,L4B,293 & 294,Yes,103.9017851,1.378663847
R106416E,CHARGE+ PTE. LTD.,2,R106416E-002,Type 2,7.4,530470,470,UPPER SERANGOON CRESCENT,HOUGANG PARKVIEW,L4B,293 & 294,Yes,103.9017851,1.378663847
R106417K,CHARGE+ PTE. LTD.,2,R106417K-001,Type 2,7.4,530220,220,HOUGANG STREET 21,KOVAN GREEN,L4B,131 & 132,Yes,103.8843547,1.356644354
R106417K,CHARGE+ PTE. LTD.,2,R106417K-002,Type 2,7.4,530220,220,HOUGANG STREET 21,KOVAN GREEN,L4B,131 & 132,Yes,103.8843547,1.356644354
R106418B,CHARGE+ PTE. LTD.,2,R106418B-001,Type 2,7.4,530220,220,HOUGANG STREET 21,KOVAN GREEN,L4B,133 & 134,Yes,103.8843547,1.356644354
R106418B,CHARGE+ PTE. LTD.,2,R106418B-002,Type 2,7.4,530220,220,HOUGANG STREET 21,KOVAN GREEN,L4B,133 & 134,Yes,103.8843547,1.356644354
R106421B,CHARGE+ PTE. LTD.,2,R106421B-001,Type 2,7.4,540334,334,ANCHORVALE CRESCENT,ANCHORVALE COVE,L4B,435 & 436,Yes,103.8898572,1.397970335
R106421B,CHARGE+ PTE. LTD.,2,R106421B-002,Type 2,7.4,540334,334,ANCHORVALE CRESCENT,ANCHORVALE COVE,L4B,435 & 436,Yes,103.8898572,1.397970335
R106422F,CHARGE+ PTE. LTD.,2,R106422F-001,Type 2,7.4,540334,334,ANCHORVALE CRESCENT,ANCHORVALE COVE,L4B,437 & 438,Yes,103.8898572,1.397970335
R106422F,CHARGE+ PTE. LTD.,2,R106422F-002,Type 2,7.4,540334,334,ANCHORVALE CRESCENT,ANCHORVALE COVE,L4B,437 & 438,Yes,103.8898572,1.397970335
R106423Z,CHARGE+ PTE. LTD.,2,R106423Z-001,Type 2,7.4,750120,120,CANBERRA CRESCENT,DBS 120 CANBERRA CRESCENT,L5A,290 & 291,Yes,103.8316018,1.445716569
R106423Z,CHARGE+ PTE. LTD.,2,R106423Z-002,Type 2,7.4,750120,120,CANBERRA CRESCENT,DBS 120 CANBERRA CRESCENT,L5A,290 & 291,Yes,103.8316018,1.445716569
R106424C,CHARGE+ PTE. LTD.,2,R106424C-001,Type 2,7.4,750120,120,CANBERRA CRESCENT,DBS 120 CANBERRA CRESCENT,L5A,292 & 293,Yes,103.8316018,1.445716569
R106424C,CHARGE+ PTE. LTD.,2,R106424C-002,Type 2,7.4,750120,120,CANBERRA CRESCENT,DBS 120 CANBERRA CRESCENT,L5A,292 & 293,Yes,103.8316018,1.445716569
R106425G,CHARGE+ PTE. LTD.,1,R106425G-001,Type 2,22,38981,1,ESPLANADE DRIVE,ESPLANADE - THEATRES ON THE BAY,B1,211,Yes,103.8555667,1.290205011
R106426R,CHARGE+ PTE. LTD.,2,R106426R-001,Type 2,7.4,820633,633,PUNGGOL DRIVE,EDGEDALE GREEN,B1,134 & 133,Yes,103.913266,1.400538847
R106426R,CHARGE+ PTE. LTD.,2,R106426R-002,Type 2,7.4,820633,633,PUNGGOL DRIVE,EDGEDALE GREEN,B1,134 & 133,Yes,103.913266,1.400538847
R106427D,CHARGE+ PTE. LTD.,1,R106427D-001,Type 2,22,38981,1,ESPLANADE DRIVE,ESPLANADE - THEATRES ON THE BAY,B1,212,Yes,103.8555667,1.290205011
R106428H,CHARGE+ PTE. LTD.,2,R106428H-001,Type 2,7.4,820633,633,PUNGGOL DRIVE,EDGEDALE GREEN,B1,136 & 135,Yes,103.913266,1.400538847
R106428H,CHARGE+ PTE. LTD.,2,R106428H-002,Type 2,7.4,820633,633,PUNGGOL DRIVE,EDGEDALE GREEN,B1,136 & 135,Yes,103.913266,1.400538847
R106429A,CHARGE+ PTE. LTD.,2,R106429A-001,Type 2,7.4,540266,266,COMPASSVALE BOW,,L4A,261 & 260,Yes,103.8970958,1.381947898
R106429A,CHARGE+ PTE. LTD.,2,R106429A-002,Type 2,7.4,540266,266,COMPASSVALE BOW,,L4A,261 & 260,Yes,103.8970958,1.381947898
R106430D,CHARGE+ PTE. LTD.,2,R106430D-001,Type 2,7.4,540266,266,COMPASSVALE BOW,,L4A,263 & 262,Yes,103.8970958,1.381947898
R106430D,CHARGE+ PTE. LTD.,2,R106430D-002,Type 2,7.4,540266,266,COMPASSVALE BOW,,L4A,263 & 262,Yes,103.8970958,1.381947898
R106433E,CHARGE+ PTE. LTD.,2,R106433E-001,Type 2,7.4,551141,141A,SERANGOON NORTH AVENUE 1,MULTI STOREY CAR PARK,L4A,221 & 214,Yes,103.8744528,1.36786213
R106433E,CHARGE+ PTE. LTD.,2,R106433E-002,Type 2,7.4,551141,141A,SERANGOON NORTH AVENUE 1,MULTI STOREY CAR PARK,L4A,221 & 214,Yes,103.8744528,1.36786213
